LGA,lga_name,lga_state,capacity_lga,dwellings_lga,instals_lga,density_lga,capunder10,cap10_100,capover100,countunder10,count10_100,count100
35760,North Burnett (R),QLD,10946,5606,1881,30.8,6688,4258,0,1727,154,0
35780,Northern Peninsula Area (R),QLD,404,1197,25,1,75,329,0,12,13,0
35790,Palm Island (S),QLD,2711,1229,498,37.1,2037,674,0,456,42,0
35800,Paroo (S),QLD,1715,846,323,35.5,1323,392,0,301,22,0
36070,Pormpuraaw (S),QLD,142,262,7,1.2,19,123,0,3,4,0
36150,Quilpie (S),QLD,1668,374,140,27.1,514,887,267,101,38,1
36250,Redland (C),QLD,155688,60117,33963,53.4,125223,28685,1780,32082,1876,5
36300,Richmond (S),QLD,1411,431,148,25.5,600,811,0,110,38,0
36370,Rockhampton (R),QLD,66104,36375,12236,31.6,48110,14901,3093,11484,744,8
36510,Scenic Rim (R),QLD,51940,15866,9446,53.5,35528,16412,0,8488,958,0
36580,Somerset (R),QLD,35148,10783,6763,57.5,26106,9042,0,6200,563,0
36630,South Burnett (R),QLD,27082,13971,5580,37.8,21077,5765,240,5288,291,1
36660,Southern Downs (R),QLD,116289,16998,6766,36.6,25652,12287,78350,6221,543,2
36720,Sunshine Coast (R),QLD,364457,122395,69510,53.1,264156,75649,24652,64961,4534,15
36820,Tablelands (R),QLD,23338,12396,3890,28,14585,8583,170,3470,419,1
36910,Toowoomba (R),QLD,407659,72808,24751,31.2,93597,40872,273190,22698,2038,15
36950,Torres (S),QLD,727,1083,62,3.9,211,516,0,43,19,0
36960,Torres Strait Island (R),QLD,907,1344,77,4,264,643,0,53,24,0
37010,Townsville (C),QLD,487309,82607,33074,37.2,138556,43589,305164,30769,2289,16
37300,Weipa (T),QLD,153,2057,15,0.5,58,95,0,11,4,0
37310,Western Downs (R),QLD,997166,16399,5184,27.9,19385,12733,965048,4571,604,9
37340,Whitsunday (R),QLD,476493,15639,6234,35,24295,13762,438436,5473,753,8
37400,Winton (S),QLD,1065,802,146,14.6,579,486,0,117,29,0
37550,Woorabinda (S),QLD,176,359,14,3.1,49,127,0,11,3,0
37570,Wujal Wujal (S),QLD,194,152,29,16.2,112,82,0,25,4,0
37600,Yarrabah (S),QLD,2388,1363,346,21.5,1320,1068,0,293,53,0
40070,Adelaide (C),SA,16000,5881,1697,22.8,5056,10514,430,1343,352,2
40120,Adelaide Hills (DC),SA,54973,15752,8350,45.3,31366,22499,1108,7140,1209,1
40150,Adelaide Plains (DC),SA,17249,3881,2637,59.2,10448,6801,0,2296,341,0
40220,Alexandrina (DC),SA,43410,16256,9066,52.3,32989,10028,393,8506,558,2
40250,Anangu Pitjantjatjara (AC),SA,375,734,29,2.8,100,275,0,20,9,0
40310,Barossa (DC),SA,42776,11004,6165,50.4,23454,12940,6382,5545,611,9
40430,Barunga West (DC),SA,16290,1916,937,46.7,3603,807,11880,895,40,2
40520,Berri and Barmera (DC),SA,20246,4935,2489,44.9,11095,5552,3599,2214,268,7
40700,Burnside (C),SA,45086,19489,7561,33.9,29623,15306,157,6604,956,1
40910,Campbelltown (C) (SA),SA,47160,20530,9028,40.9,36602,10384,174,8387,640,1
41010,Ceduna (DC),SA,4341,2099,682,29.6,2890,1451,0,621,61,0
41060,Charles Sturt (C),SA,107453,49820,19375,35.8,74726,31388,1339,17843,1526,6
41140,Clare and Gilbert Valleys (DC),SA,12982,4563,2200,43.6,8574,4408,0,1991,209,0
41190,Cleve (DC),SA,2803,1093,484,40.8,2017,786,0,446,38,0
41330,Coober Pedy (DC),SA,2081,1237,55,2.8,223,858,1000,34,20,1
41560,Copper Coast (DC),SA,34839,9097,4513,46.8,18003,4386,12450,4261,247,5
41750,Elliston (DC),SA,1618,673,246,32.9,1079,539,0,221,25,0
41830,Flinders Ranges (DC),SA,2193,1180,505,42,2050,143,0,495,10,0
41960,Franklin Harbour (DC),SA,2041,1050,386,34.1,1538,503,0,358,28,0
42030,Gawler (T),SA,28432,11057,5200,43.6,20522,6753,1157,4821,377,2
42110,Goyder (DC),SA,18905,2247,1007,41.7,4127,1534,13244,938,67,2
42250,Grant (DC),SA,10028,3770,1385,32.3,6162,3542,324,1219,165,1
42600,Holdfast Bay (C),SA,31827,15939,6112,35.2,23136,8214,477,5616,494,2
42750,Kangaroo Island (DC),SA,6034,3220,1220,35.3,4507,1527,0,1137,83,0
43080,Karoonda East Murray (DC),SA,1374,671,267,37.7,1106,268,0,253,14,0
43220,Kimba (DC),SA,1687,594,256,39.2,1077,610,0,233,23,0
43360,Kingston (DC) (SA),SA,3037,1699,558,30.5,2337,700,0,519,39,0
43650,Light (RegC),SA,23752,6517,3734,52.6,14786,5784,3182,3428,299,7
43710,Lower Eyre Peninsula (DC),SA,7786,3080,1384,42,6107,1463,216,1294,89,1
43790,Loxton Waikerie (DC),SA,24321,5652,3080,49.3,12404,6720,5197,2785,275,20
44000,Maralinga Tjarutja (AC),SA,70,33,11,29.9,46,24,0,10,1,0
44060,Marion (C),SA,83372,39836,16515,39.5,63006,14531,5835,15720,786,9
44210,Mid Murray (DC),SA,64755,7026,3061,40.6,11756,4425,48574,2854,192,15
44340,Mitcham (C),SA,66511,24895,11733,42.8,45619,17631,3261,10656,1073,4
44550,Mount Barker (DC),SA,52137,15133,8366,48.8,33642,17888,607,7383,980,3
44620,Mount Gambier (C),SA,17934,11885,2974,23.2,12189,5116,629,2755,218,1
44830,Mount Remarkable (DC),SA,13478,1765,864,46.1,3592,954,8932,814,49,1
45040,Murray Bridge (RC),SA,35074,10869,4877,41.4,19119,8372,7583,4495,376,6
45090,Naracoorte Lucindale (DC),SA,9615,3958,1455,33,6553,3062,0,1307,148,0
45120,Northern Areas (DC),SA,7005,2392,1242,47.1,4709,2296,0,1127,115,0
45290,NORWOOD PAYNEHAM AND ST PETERS (C),SA,34213,15391,5556,31.6,20795,12826,592,4857,696,3
45340,Onkaparinga (C),SA,177696,74563,37192,47.4,138150,35349,4197,35324,1858,10
45400,Orroroo/Carrieton (DC),SA,1542,491,272,51.6,1066,476,0,253,19,0
45540,Peterborough (DC),SA,10134,1067,412,36.4,1484,356,8294,388,22,2
45680,Playford (C),SA,102888,40182,16764,38.8,68520,24166,10202,15588,1163,13
45890,Port Adelaide Enfield (C),SA,135512,54148,22411,38.6,85971,36374,13167,20920,1469,22
46090,Port Augusta (C),SA,156810,6526,2956,42,11943,4627,140240,2740,212,4
46300,Port Lincoln (C),SA,15233,6715,2545,35.3,10474,4180,579,2371,171,3
46450,Port Pirie (M),SA,31691,8757,3808,41,15293,4037,12361,3591,212,5
46510,Prospect (C),SA,18415,8252,3306,35.8,12703,5712,0,2956,350,0
46670,Renmark Paringa (DC),SA,25638,4308,2303,47.1,10023,6207,9408,2029,255,19
46860,Robe (DC),SA,2444,1673,415,22.6,1745,699,0,378,37,0
46970,Roxby Downs (M),SA,2242,1808,286,14.6,1869,373,0,265,21,0
47140,Salisbury (C),SA,141197,56859,26816,44.9,103489,29690,8018,25544,1260,12
47290,Southern Mallee (DC),SA,2314,1101,393,33.2,1613,515,186,365,27,1
47490,Streaky Bay (DC),SA,3595,1954,607,28.3,2566,1029,0,554,53,0
47630,Tatiara (DC),SA,8314,2993,1355,41,5831,2345,138,1226,128,1
47700,Tea Tree Gully (C),SA,88281,40268,19175,45.6,72514,14248,1519,18358,816,1
47800,Coorong (DC),SA,140638,3021,1322,40.3,5318,2173,133147,1218,102,2
47910,Tumby Bay (DC),SA,3770,1690,782,44,3137,633,0,744,38,0
47980,Unley (C),SA,35532,13394,5841,38.2,22076,13082,374,5114,725,2
48050,Victor Harbor (C),SA,22060,9970,5051,48.3,17316,4603,141,4812,238,1
48130,Wakefield (DC),SA,14117,3166,1631,47.1,6148,4102,3867,1491,134,6
48260,Walkerville (M),SA,8304,3201,1326,35.9,5350,2954,0,1150,176,0
48340,Wattle Range (DC),SA,13016,6016,2194,33.8,9539,3477,0,2034,160,0
48410,West Torrens (C),SA,53102,25122,8916,32.3,34390,17056,1656,8116,795,5
48540,Whyalla (C),SA,30377,11271,4399,37,17408,4887,8082,4172,225,2
48640,Wudinna (DC),SA,2086,720,271,33,1102,541,443,238,31,2
48750,Yankalilla (DC),SA,11676,4020,2152,49.9,8061,2822,793,2006,145,1
48830,Yorke Peninsula (DC),SA,19800,10291,4456,41.4,16314,3486,0,4262,194,0
49399,Unincorporated SA,SA,145807,2816,437,11.5,1388,3117,141302,323,102,12
50080,Albany (C),WA,17207,18599,3850,20.1,13817,3190,200,3733,116,1
50210,Armadale (C),WA,81447,39863,17188,42.3,73414,8033,0,16845,343,0
50250,Ashburton (S),WA,4119,3875,332,7.7,1721,1280,1118,300,31,1
50280,Augusta-Margaret River (S),WA,12696,8600,2311,25.3,9310,3087,299,2177,132,2
50350,Bassendean (T),WA,11167,7149,2385,32.6,9092,1709,366,2328,55,2
50420,Bayswater (C),WA,41381,29639,8630,28.2,33963,7418,0,8364,266,0
50490,Belmont (C),WA,24931,18134,4593,24.2,17034,7065,832,4387,204,2
50560,Beverley (S),WA,1688,900,441,48.5,1579,109,0,436,5,0
50630,Boddington (S),WA,1633,882,316,34.3,1384,249,0,303,13,0
50770,Boyup Brook (S),WA,1206,1016,265,24.7,1001,205,0,251,14,0
50840,Bridgetown-Greenbushes (S),WA,3519,2541,808,30.7,3080,439,0,781,27,0
50910,Brookton (S),WA,910,479,176,34.9,701,209,0,167,9,0
50980,Broome (S),WA,8157,9292,740,5.7,2949,5208,0,529,211,0
51080,Broomehill-Tambellup (S),WA,616,496,123,22.8,473,143,0,113,10,0
51120,Bruce Rock (S),WA,1015,472,209,41.9,787,228,0,198,11,0
51190,Bunbury (C),WA,22860,14821,4936,32.3,19048,3812,0,4787,149,0
51260,Busselton (C),WA,38629,22066,7657,33.2,30209,8278,142,7334,322,1
51310,Cambridge (T),WA,16468,9258,3083,31.6,13525,2943,0,2926,157,0
51330,Canning (C),WA,74609,37081,15610,41.1,60346,12110,2153,15223,380,7
51400,Capel (S),WA,13942,7973,3102,37.8,11888,2054,0,3017,85,0
51470,Carnamah (S),WA,598,424,106,23.7,420,178,0,100,6,0
51540,Carnarvon (S),WA,4544,3705,369,6.5,1415,3129,0,239,130,0
51610,Chapman Valley (S),WA,1184,661,230,33.9,1020,164,0,224,6,0
51680,Chittering (S),WA,7463,2389,1392,54.9,5888,1575,0,1311,81,0
51750,Claremont (T),WA,7531,3726,1257,32.1,5130,1066,1335,1195,58,4
51820,Cockburn (C),WA,100598,46432,20376,42.8,83234,14693,2671,19853,513,10
51890,Collie (S),WA,6802,4213,1595,36.9,5777,1025,0,1556,39,0
51960,Coolgardie (S),WA,1943,1931,284,13.8,1312,631,0,267,17,0
52030,Coorow (S),WA,1368,965,261,25.5,1112,256,0,246,15,0
52100,Corrigin (S),WA,942,555,211,36.4,776,166,0,202,9,0
52170,Cottesloe (T),WA,4177,2896,767,24.5,3299,878,0,708,59,0
52240,Cranbrook (S),WA,591,559,104,16.8,360,231,0,94,10,0
52310,Cuballing (S),WA,790,404,173,41.1,653,137,0,166,7,0
52380,Cue (S),WA,184,164,22,12.6,90,94,0,21,1,0
52450,Cunderdin (S),WA,1326,596,213,31.9,874,452,0,190,23,0
52520,Dalwallinu (S),WA,1607,707,230,27.9,924,683,0,197,33,0
52590,Dandaragan (S),WA,27123,3282,909,26.3,4055,1496,21572,862,45,2
52660,Dardanup (S),WA,12806,6493,2935,44.5,11526,1050,230,2887,47,1
52730,Denmark (S),WA,4046,3488,920,25.7,3289,757,0,895,25,0
52800,Derby-West Kimberley (S),WA,3929,4204,238,3.1,684,3045,200,130,107,1
52870,Donnybrook-Balingup (S),WA,6504,3082,1373,42,4875,1629,0,1293,80,0
52940,Dowerin (S),WA,588,393,104,24.2,430,158,0,95,9,0
53010,Dumbleyung (S),WA,611,389,105,24.5,408,203,0,95,10,0
53080,Dundas (S),WA,6463,626,46,6,128,238,6097,38,7,1
53150,East Fremantle (T),WA,4282,2794,906,31.3,3732,550,0,875,31,0
53220,East Pilbara (S),WA,72887,3175,123,2.6,275,1470,71142,82,40,1
53290,Esperance (S),WA,5056,6651,896,12.2,3488,1568,0,815,81,0
53360,Exmouth (S),WA,2314,2600,196,5,767,1547,0,131,65,0
53430,Fremantle (C),WA,18126,13166,3872,28.4,14100,3226,800,3743,126,3
53570,Gingin (S),WA,12258,4346,1565,33.6,6017,3069,3172,1460,103,2
53640,Gnowangerup (S),WA,901,719,173,22.6,713,188,0,162,11,0
53710,Goomalling (S),WA,968,493,176,33.3,722,246,0,164,12,0
53780,Gosnells (C),WA,100748,49234,22716,45.3,87823,11425,1500,22293,420,3
53800,Greater Geraldton (C),WA,30997,18639,6018,31.3,24196,4933,1868,5828,187,3
53920,Halls Creek (S),WA,866,1633,50,1.5,145,721,0,25,25,0
53990,Harvey (S),WA,25455,12389,5355,42.3,21828,2889,738,5242,110,3
54060,Irwin (S),WA,3839,1974,792,39.2,3345,494,0,774,18,0
54130,Jerramungup (S),WA,603,766,115,13.9,452,151,0,107,8,0
54170,Joondalup (C),WA,129850,61410,30014,48.3,122776,6514,560,29668,344,2
54200,Kalamunda (C),WA,49334,24806,11111,43.6,42449,6686,199,10825,285,1
54280,Kalgoorlie/Boulder (C),WA,15831,13572,2514,17.5,10689,3720,1422,2372,138,4
54310,Karratha (C),WA,12733,10404,929,6.8,3622,5501,3610,704,221,4
54340,Katanning (S),WA,2183,1780,459,24.5,1716,467,0,435,24,0
54410,Kellerberrin (S),WA,876,567,176,29.6,676,200,0,168,8,0
54480,Kent (S),WA,272,284,48,15.1,200,72,0,43,5,0
54550,Kojonup (S),WA,1311,915,235,23.8,864,447,0,218,17,0
54620,Kondinin (S),WA,732,414,101,20,384,348,0,83,18,0
54690,Koorda (S),WA,372,230,64,24.8,270,102,0,57,7,0
54760,Kulin (S),WA,601,500,128,23.7,406,195,0,119,9,0
54830,Kwinana (C),WA,39534,18488,8196,43.5,33800,4314,1420,8049,140,7
54900,Lake Grace (S),WA,1016,738,172,21.1,766,250,0,156,16,0
54970,Laverton (S),WA,8095,352,27,4.3,65,312,7718,15,11,1
55040,Leonora (S),WA,4770,656,246,35.4,475,332,3963,232,13,1
55110,Mandurah (C),WA,85263,44903,20761,45.6,77850,6385,1028,20476,281,4
55180,Manjimup (S),WA,6732,5038,1149,20.9,3953,2779,0,1054,95,0
55250,Meekatharra (S),WA,11473,338,74,17.2,207,251,11015,58,13,3
55320,Melville (C),WA,73465,42460,15496,35.5,62602,10391,472,15054,439,3
55390,Menzies (S),WA,182,148,16,8.9,54,128,0,13,3,0
55460,Merredin (S),WA,135582,1628,505,29,1902,687,132993,473,30,2
55530,Mingenew (S),WA,558,334,98,27.2,433,125,0,91,7,0
55600,Moora (S),WA,1934,1339,342,23.4,1307,627,0,314,28,0
55670,Morawa (S),WA,636,441,109,23,487,149,0,101,8,0
55740,Mosman Park (T),WA,5171,3126,914,27.3,3999,964,208,853,60,1
55810,Mount Magnet (S),WA,344,386,52,12.2,195,149,0,47,5,0
55880,Mount Marshall (S),WA,459,383,70,15.8,289,170,0,61,9,0
55950,Mukinbudin (S),WA,516,321,99,28.4,391,125,0,91,8,0
56090,Mundaring (S),WA,31994,15781,6903,42.4,27299,4265,430,6696,206,1
56160,Murchison (S),WA,362,82,17,17.2,66,46,250,14,2,1
56230,Murray (S),WA,22002,8993,4684,50.7,17868,2609,1525,4556,125,3
56300,Nannup (S),WA,1429,850,314,35,1135,294,0,298,16,0
56370,Narembeen (S),WA,822,442,137,28.8,621,201,0,127,10,0
56460,Narrogin (S),WA,3234,2365,651,26,2481,753,0,614,37,0
56580,Nedlands (C),WA,11982,6987,2211,29.6,9308,2674,0,2067,144,0
56620,Ngaanyatjarraku (S),WA,207,478,21,3.3,77,130,0,16,5,0
56730,Northam (S),WA,21595,5198,1945,35.7,7453,2053,12089,1854,89,2
56790,Northampton (S),WA,4279,2544,661,24.7,2701,578,1000,629,31,1
56860,Nungarin (S),WA,126,124,30,23.4,116,10,0,29,1,0
56930,Peppermint Grove (S),WA,905,631,166,24.2,714,191,0,153,13,0
57000,Perenjori (S),WA,349,261,66,24.3,300,49,0,64,2,0
57080,Perth (C),WA,8517,3621,1000,23.2,3490,4523,504,841,157,2
57140,Pingelly (S),WA,1075,568,212,35.6,891,184,0,202,10,0
57210,Plantagenet (S),WA,3168,2464,670,25.8,2523,645,0,637,33,0
57280,Port Hedland (T),WA,3706,8107,429,4.6,1681,2025,0,371,58,0
57350,Quairading (S),WA,943,508,180,33.7,587,148,208,171,8,1
57420,Ravensthorpe (S),WA,913,1167,172,13.7,572,341,0,159,13,0
57490,Rockingham (C),WA,122591,59330,28002,46.6,110534,8201,3856,27634,363,5
57630,Sandstone (S),WA,95,78,21,25.6,82,13,0,20,1,0
57700,Serpentine-Jarrahdale (S),WA,35657,12991,6809,50.5,30595,4862,200,6563,245,1
57770,Shark Bay (S),WA,816,1197,119,8.2,403,413,0,98,21,0
57840,South Perth (C),WA,21980,18941,4566,23.3,19093,2694,193,4412,153,1
57910,Stirling (C),WA,119993,98554,24975,24.6,101036,17726,1231,24238,731,6
57980,Subiaco (C),WA,8470,5558,1521,25.7,6249,2221,0,1431,90,0
58050,Swan (C),WA,153145,61592,29501,46.5,127456,21433,4256,28618,874,9
58190,Tammin (S),WA,229,214,47,20.6,154,75,0,44,3,0
58260,Three Springs (S),WA,568,294,103,33,460,108,0,97,6,0
58330,Toodyay (S),WA,4725,2425,1198,48.4,4250,475,0,1173,25,0
58400,Trayning (S),WA,245,250,54,21.6,245,0,0,54,0,0
58470,Upper Gascoyne (S),WA,179,147,21,12.2,100,79,0,18,3,0
58510,Victoria Park (T),WA,22631,15380,3629,22,13839,8025,767,3389,237,3
58540,Victoria Plains (S),WA,1280,449,130,24.8,512,768,0,111,19,0
58570,Vincent (C),WA,15747,10616,2749,24.2,10795,4772,180,2572,175,2
58610,Wagin (S),WA,1902,938,322,33.3,1214,293,395,312,9,1
58680,Wandering (S),WA,424,224,84,35.6,352,72,0,80,4,0
58760,Wanneroo (C),WA,186856,85927,39807,45.4,165288,20586,982,38992,810,5
58820,Waroona (S),WA,4176,2072,872,41,3564,612,0,850,22,0
58890,West Arthur (S),WA,577,462,127,26.2,459,118,0,121,6,0
59030,Westonia (S),WA,343,131,71,50.4,267,76,0,66,5,0
59100,Wickepin (S),WA,424,411,105,24.9,371,53,0,102,3,0
59170,Williams (S),WA,740,486,123,23.2,498,242,0,113,10,0
59250,Wiluna (S),WA,262,257,13,2.3,29,233,0,6,7,0
59310,Wongan-Ballidu (S),WA,1296,799,194,21.4,805,491,0,171,23,0
59320,Woodanilling (S),WA,319,207,74,35.2,276,43,0,73,1,0
59330,Wyalkatchem (S),WA,363,308,94,29.9,340,23,0,92,2,0
59340,Wyndham-East Kimberley (S),WA,3340,3925,321,6.3,1451,1889,0,247,74,0
59350,Yalgoo (S),WA,204,125,22,13.8,85,119,0,17,5,0
59360,Yilgarn (S),WA,828,685,148,20.4,715,113,0,140,8,0
59370,York (S),WA,3631,1950,811,40.6,3125,506,0,793,18,0
60210,Break O'Day (M),TAS,4725,4619,960,20,3738,987,0,922,38,0
60410,Brighton (M),TAS,7215,7035,1482,20.5,6148,747,320,1439,42,1
60610,Burnie (C),TAS,6411,9479,1126,11.3,4638,1637,136,1072,53,1
60810,Central Coast (M) (Tas.),TAS,9396,10748,1879,16.7,7684,1712,0,1796,83,0
61010,Central Highlands (M) (Tas.),TAS,801,1026,163,15.3,651,150,0,157,6,0
61210,Circular Head (M),TAS,3576,3816,558,13.9,2551,716,309,529,27,2
61410,Clarence (C),TAS,20796,25439,4533,17.2,17498,3298,0,4374,159,0
61510,Derwent Valley (M),TAS,3730,5022,752,14.3,2942,788,0,720,32,0
61610,Devonport (C),TAS,9250,12094,1723,13.6,6647,1832,771,1644,77,2
61810,Dorset (M),TAS,3494,4199,717,16.4,2750,744,0,689,28,0
62010,Flinders (M) (Tas.),TAS,2854,615,211,32.5,685,169,2000,200,10,1
62210,George Town (M),TAS,4195,3419,767,21.7,3221,671,303,742,24,1
62410,Glamorgan/Spring Bay (M),TAS,3575,3778,748,19,2858,717,0,717,31,0
62610,Glenorchy (C),TAS,12224,19415,2753,13.8,9779,2037,408,2679,73,1
62810,Hobart (C),TAS,15352,19214,3244,16,11445,3502,405,3082,161,1
63010,Huon Valley (M),TAS,9508,8517,2001,22.6,7619,1889,0,1925,76,0
63210,Kentish (M),TAS,3196,2777,637,21.8,2386,810,0,605,32,0
63410,King Island (M),TAS,2090,812,294,30.9,1255,835,0,251,43,0
63610,Kingborough (M),TAS,16997,17122,3762,21.4,14725,1993,279,3669,91,2
63810,Latrobe (M) (Tas.),TAS,5439,5468,1072,18.8,4442,997,0,1026,46,0
64010,Launceston (C),TAS,27085,28153,4833,16.3,18992,7642,451,4579,252,2
64210,Meander Valley (M),TAS,10105,9396,1891,19.2,7605,2500,0,1800,91,0
64610,Northern Midlands (M),TAS,7224,6133,1242,19,4819,2158,247,1164,77,1
64810,Sorell (M),TAS,6436,7760,1534,19.3,5880,556,0,1499,35,0
65010,Southern Midlands (M),TAS,2443,2805,528,18.1,2058,385,0,509,19,0
65210,Tasman (M),TAS,1488,2255,338,14.3,1221,267,0,323,15,0
65410,Waratah/Wynyard (M),TAS,5642,7013,1145,15.7,4720,922,0,1100,45,0
65610,West Coast (M),TAS,1066,2694,218,7.9,903,163,0,213,5,0
65810,West Tamar (M),TAS,12556,10594,2668,24.3,10660,1896,0,2574,94,0
70200,Alice Springs (T),NT,21271,11890,2973,23.6,13539,5590,2142,2810,156,7
70420,Barkly (R),NT,2514,2833,259,7.7,1100,961,453,219,39,1
70540,Belyuen (S),NT,66,57,6,9.1,33,33,0,5,1,0
70620,Central Desert (R),NT,2024,1238,59,3.2,197,489,1338,39,16,4
70700,Coomalie (S),NT,13629,678,141,17.9,631,489,12509,121,19,1
71000,Darwin (C),NT,59852,22642,6814,28.6,35991,15634,8227,6468,338,8
71300,East Arnhem (R),NT,5108,3074,271,7.3,1415,1450,2243,224,42,5
72200,Katherine (T),NT,41156,3750,867,21.2,4394,2731,34031,795,70,2
72300,Litchfield (M),NT,33767,8502,2578,28.4,15517,5268,12982,2416,159,3
72330,MacDonnell (R),NT,1999,2050,95,3.2,337,724,938,65,25,5
72800,Palmerston (C),NT,30748,13102,4536,33.9,24886,3380,2482,4448,83,5
73600,Roper Gulf (R),NT,2789,2537,176,5.1,725,1271,793,131,41,4
74050,Tiwi Islands (R),NT,2083,852,92,9.1,496,487,1100,77,14,1
74550,Victoria Daly (R),NT,2076,1191,93,6.2,427,625,1024,74,18,1
74560,Wagait (S),NT,184,159,18,9.1,93,91,0,15,3,0
74660,West Arnhem (R),NT,4363,2363,204,7,1055,1146,2162,165,35,4
74680,West Daly (R),NT,1274,1103,118,9.1,643,631,0,100,18,0
79399,Unincorporated NT,NT,4779,2502,227,7.5,1135,1336,2308,188,36,3
89399,Unincorporated ACT,ACT,271911,147979,37641,23,154672,63403,53836,34029,3589,23
99399,Unincorp. Other Territories,OT,2959,3035,742,23,2124,835,0,699,43,0
